Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,S1.1 HEAD and NECK,27.42.2,S1.1.4.3,Wedge Excision of LipandVermilionectomy(27.43),"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",45000
,S1.1 HEAD and NECK,27.42.1,S1.1.4.4,Wedge Excision of Lip,"Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Intra OP photo",30100
,S1.1 HEAD and NECK,06.2.1,S1.1.5.1,Hemithyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC),Clinical Photograph",Routine Histopathological Examination,32800
,S1.1 HEAD and NECK,06.39.1,S1.1.5.2,Isthmectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC),Clinical Photograph","Routine Histopathological Examination, Intra OP photo",25000
,S1.1 HEAD and NECK,06.39.2,S1.1.5.3,Partial Thyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Scar Photo",45000
,S1.1 HEAD and NECK,06.31.2,S1.1.5.5,Subtotal Thyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Scar Photo",33000
,S1.1 HEAD and NECK,06.4.1,S1.1.5.6,Total Thyroidectomy,"T3, T4, TSH,USG Neck , Fine Needle Aspiration Cytology (FNAC), Clinical Photograph","Routine Histopathological Examination, Scar Photo",32900
,S1.10 Groin Hernia Repair,-,S1.10.1A,Inguinal - Open,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",25000
,S1.10 Groin Hernia Repair,-,S1.10.2A,Inguinal - Lap.,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",25000
,S1.10 Groin Hernia Repair,-,S1.10.3A,Femoral - Lap,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",25400
,S1.10 Groin Hernia Repair,-,S1.10.4A,Obturator - Lap.,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes, Invoice of Mesh used",28600
,S1.11 Hernia - Ventral,-,S1.11A,Paraumbilical,"Clinical notes and USG (specifying size of defect), Clinical photograph","Post procedure clinical photograph, detailed discharge summary Detailed Operative notes +/- Invoice of Mesh used",31300
,S1.12 Excision of cyst / Sebaceous Cysts over scrotum,-,S1.12.1A,Single Cyst,Deailed Clinical notes,"Intra operative clinical photograph, Detailed Operative notes; detailed discharge summary.",3300
,S1.12 Excision of cyst / Sebaceous Cysts over scrotum,-,S1.12.2A,Multiple Cysts,Deailed Clinical notes,"Intra operative clinical photograph, Detailed Operative notes; detailed discharge summary.",7200
,S1.13 Excision Filarial Scrotum,-,S1.13A,Excision Filarial Scrotum,Clinical notes +/- USG report confirming the diagnosis,"Histopath, detailed Operative notes, Detailed discharge summary",10500
,S1.14 Operation for Hydrocele (U/L),-,S1.14A,Operation for Hydrocele (U/L),Clinical notes and +/- Scrotal USG confirming the diagnosis,"Histopath, Intra procedure clinical photograph, Detailed Operative notes and detailed discharge summary",16000
,S1.15 Epididymal Cyst / Nodule Excision,-,S1.15.1A,Epididymal Cyst exision,Clinical notes and USG report confirming the diagnosis,"Histopath, Intra operative clinical photograph, Detailed Operative notes, Detailed discharge summary",6600
,S1.15 Epididymal Cyst / Nodule Excision,-,S1.15.2A,Epididymal Nodule excision,Clinical notes and USG report confirming the diagnosis,"Histopath, Intra operative clinical photograph, Detailed Operative notes, Detailed discharge summary",6600
,S1.16 Vasovasostomy,-,S1.16A,Vasovasostomy,Clinical notes detailing need of surgery after vasectomy? Evidence of When and where was vasectomy done? Is the EHCP equipped for microsurgery?,"Detailed discharge summary, Detailed Operative notes. Since this is microsurgery evaluate time taken (2 hours+)",15000
,S1.17 Thymectomy,-,S1.17A,Thymectomy,"Clinical notes and Investigation report confirming the need for surgery (CT/MRI), Single-fiber electromyography in case of myasthenia gravis, Clinical photograph","Histopath, Post procedure clinical photograph, Detailed Operative notes, Detailed discharge summary",72000
,S1.18 Excision Mammary Fistula,-,S1.18A,Excision Mammary Fistula,"Clinical notes and sonomammogram report confirming the diagnosis,","Histopath, Detailed Operative notes, Detailed discharge summary",15000
,S1.19 Rib Resection & Drainage,-,S1.19A,Rib Resection & Drainage,"Clinical notes and X Ray, CT/ MRI confirming the diagnosis for which the surgery is done, Clinical photograph","Pus C/S, Post procedure X Ray, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",25000
,S1.20 Incision & Drainage of Abscess,-,S1.20A,Incision & Drainage of Abscess,Clinical notes and USG report confirming large abscess.,"C/S report of Wound or Pus, Intra operative clinical photograph, Detailed Operative notes & detailed discharge summary.",6300
,S1.21 Lipoma / Cyst / other cutaneous swellings Excision,-,S1.21.1A,Lipoma Excision,Clinical notes and clinical photograph to confirm diagnosis.,"Histopath, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",6300
,S1.21 Lipoma / Cyst / other cutaneous swellings Excision,-,S1.21.2A,Cyst Excision,Clinical notes and clinical photograph to confirm diagnosis.,"Histopath, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",6300
,S1.21 Lipoma / Cyst / other cutaneous swellings Excision,-,S1.21.3A,Other cutaneous swellings Excision,Clinical notes and clinical photograph to confirm diagnosis.,"Histopath, Post procedure clinical photograph, Detailed Operative notes, detailed discharge summary",6300
,S1.22 Debridement of Ulcer,-,S1.22A,Debridement of Ulcer,"Clinical notes and Clinical photograph of affected part, Evidence of confirmed diagnosis of Leprosy","Post procedure clinical photograph, Detailed Operative notes, Detailed discharge summary",11400
,S1.23 Lymphatics Excision of Subcutaneous Tissues In Lymphoedema,-,S1.23A,Lymphatics Excision of Subcutaneous Tissues In Lymphoedema,"Clinical notes and detailing history, Clinical Photograph","Histopathology report, post procedure clinical photograph, Detailed Operative notes, Detailed discharge summary.",18800
,S1.24 Necrotising fasciitis / Fournier Gangrene,-,S1.24A,Necrotising fasciitis / Fournier Gangrene,"Clinical notes detailing findings confirming the diagnosis, clinical photograph of affected part","Detailed discharge summary, Post Procedure clinical photgraph, detailed Procedure / Operative Notes.",16900
,S1.25 Circumcision,-,S1.25A,Circumcision - Phimosis / Paraphimosis or any other clinical condition,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; Clinical photograph,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports, post-operative photograph",12500
,S1.3 ABDOMEN,53.59.1,S1.3.1.1,Epigastric Hernia repair without Mesh,"USG Abdomen, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,30000
,S1.3 ABDOMEN,53.69.1,S1.3.1.2,Epigastric Hernia repair with Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,110000
,S1.3 ABDOMEN,53.29.2,S1.3.1.3,Unilateral Femoral Hernia repair,"USG Abdomen, Clinical Photograph","USG Abdomen/CT Scan Abdomen With Contrast, Routine Histopathological Examination",40000
,S1.3 ABDOMEN,53.72,S1.3.1.4,Hiatus Hernia Repair - Abdominal,"USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast,48000
,S1.3 ABDOMEN,53.9.1,S1.3.1.5,"Rare Hernias repair (Spigalion,Obuturator,Sciatic)","USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast, ECHO Cardiogram, Clinical Photograph",USG Abdomen,55000
,S1.3 ABDOMEN,53.49.1,S1.3.1.6,Umbilical Hernia repair without Mesh,"USG Abdomen, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,30000
,S1.3 ABDOMEN,53.41,S1.3.1.7,Umbilical Hernia repair with Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast, Clinical Photograph","USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast/CT Scan Abdomen With Contrast, WEBEX",31300
,S1.3 ABDOMEN,53.59.2,S1.3.1.8,Ventral And Scar Hernia repair without Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,40000
,S1.3 ABDOMEN,53.69.2,S1.3.1.9,Ventral And Scar Hernia repair with Mesh,"USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast, Clinical Photograph",USG Abdomen/CT scan Lower Abdomen Without Contrast/CT Scan Abdomen With Contrast/CT Scan Abdomen Without Contrast,50000
,S1.3 ABDOMEN,47.01,S1.3.2.1,Laproscopic Appendicectomy,"USG Abdomen, Complete Blood Picture [CBP], Case sheet with clinical History","USG Abdomen, WEBEX, Scar Photo, Specimen Photo, Routine Histopathological Examination",25000
,S1.3 ABDOMEN,44.02,S1.3.3.1,Highly Selective Vagotomy,"USG Abdomen/ CT Scan Abdomen With Contrast, Upper GI endoscopy",USG Abdomen/ CT Scan Abdomen With Contrast,25000
,S1.3 ABDOMEN,44.03,S1.3.3.2,Selective Vagotomy drainage,"Upper GI endoscopy ,USG Abdomen, Endoscopic Dilatation-Video/Photo","Upper GI endoscopy , USG Abdomen, WEBEX, HPE for Vagus",48000
,S1.3 ABDOMEN,44.2,S1.3.3.3,Pyloroplasty and Vagotomy,"USG Abdomen/ CT Scan Abdomen With Contrast, Upper GI endoscopy","USG Abdomen, HPE for Vagus",60000
,S1.3 ABDOMEN,44.39.2,S1.3.3.4,Gastrojejunostomy and Vagotomy,"USG Abdomen/ CT Scan Abdomen With Contrast, Upper GI endoscopy",USG Abdomen/ CT Scan Abdomen With Contrast,60000
,S1.3 ABDOMEN,43.3.1,S1.3.3.7,Pyloromyotomy,USG Abdomen,"Routine Histopathological Examination, Intra OP photo",45000
,S1.4 Liver,50.29.2,S1.4.1,Surgical treatment For Hydatid cyst of Liver,"USG Abdomen, LFT(liver function tests)","Routine Histopathological Examination, USG Abdomen",42000
,S1.5 Gallbladder,51.22.3,S1.5.1,Cholecystectomy,"USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, LFT(liver function tests)","Routine Histopathological Examination, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, CT Scan Abdomen With Contrast ,",38900
,S1.5 Gallbladder,51.22.4,S1.5.2,Laproscopic Cholecystectomy,"USG Abdomen, Showing Calculus, LFT(liver function tests)","Routine Histopathological Examination, USG Abdomen, WEBEX",38900
,S1.5 Gallbladder,51.22.1,S1.5.3,Cholecystectomy With CBD Exploration (51.41),"USG Abdomen, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, LFT(liver function tests)","USG Abdomen, MR Cholangiography, CT scan Lower Abdomen Without Contrast/CT Scan Abdomen Without Contrast, Routine Histopathological Examination",41000
,S1.5 Gallbladder,51.02,S1.5.4,Cholecystostomy,"CT Scan Abdomen Without Contrast, USG Abdomen, Chest X-Ray PA View(1 Film)","Routine Histopathological Examination, CT Scan Abdomen Without Contrast",38900
,S1.5 Gallbladder,51.7,S1.5.7,Repair Of CBD,Magnetic Resonance Cholangiopancreatography (MRCP) /USG Abdomen/CT scan Lower Abdomen Without Contrast,USG Abdomen,65000
,S1.7 Spleen,41.5.2,S1.7.1,Splenectomy For Hypersplenism,"USG Abdomen,Complete Haemogram, Sickle Cell Test","USG Abdomen,Routine Histopathological Examination",80000
,S1.9 Laceration - Suturing / Dressing,-,S1.9A,Laceration - Suturing / Dressing,Clinical notes with planned line of treatment with pre-clinical photograph,Clinical notes / discharge summary with planned line of treatment & post clinical photograph,5000
,S2.1 EAR,04.42.2,S2.1.2,Facial Nerve Decompression,"3D CT Facial Bones,Nerve conduction study",Case Sheet with operation Notes,37100
,S2.1 EAR,76.45,S2.1.3,Temporal Bone Excision,3D CT Facial Bones,3D CT Facial Bones/MRI Local Area,50000
,S2.10 Inferior turbinate reduction under GA,-,S2.10A,Inferior turbinate reduction under GA,"Clinical notes and EXAMINATION FINDINGS, nasoendoscopy findings","Intraoperative Stills, Post procedure clinical photograph of affected part, Detailed discharge summary Detailed Procedure / Operative Notes",7500
,S2.11 Open sinus surgery,-,S2.11A,Open sinus surgery,Clinical notes detailing chronicity of sinusitis . indications for surgery with supporting CTpre-procedure photograph,"Post procedure Imaging, Post procedure clinical photograph of affected part. Histopathology,, detailed Procedure / Operative Notes. Intra procedure clinical photograph",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.1A,Ant. Ethmoidal artery ligation - Open,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.2A,Ant. Ethmoidal artery ligation - Endoscopic,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.3A,Sphenopalatine artery ligation - Open,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.12 Ant. Ethmoidal / sphenopalatine artery ligation,-,S2.12.4A,Sphenopalatine artery ligation - Endoscopic,Indications of this surgery with clinical evidence (CT),"Intraoperative photograph, X-ray of clips used, post procedure clinical photograph of affected part. Detailed Procedure / Operative Notes and discharge summary.",20200
,S2.13 Tonsillectomy,-,S2.13.1A,Tonsillectomy - U/L,"Indication for surgery from treating doctor with supporting case history, physical examination findings, supporting investigation reports, Clinical Photograph","Histopathology report, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes",15300
,S2.13 Tonsillectomy,-,S2.13.2A,Tonsillectomy - B/L,"Indication for surgery from treating doctor with supporting case history, physical examination findings, supporting investigation reports, Clinical Photograph","Histopathology report, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes",15300
,S2.14 Peritonsillar abscess drainage / intraoral calculus removal,-,S2.14.1A,Peritonsillar abscess drainage,"Doctor's notes with presenting complaints, duration and physicial examination findings of oral cavity and tonsils, clinical photograph if possible","C/S of pus, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",7300
,S2.14 Peritonsillar abscess drainage / intraoral calculus removal,-,S2.14.2A,Intraoral calculus removal,"Doctor's notes with presenting complaints, duration and physicial examination findings of oral cavity and tonsils, clinical photograph if possible","C/S of pus, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",7300
,S2.15 Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with or without reconstruction,-,S2.15.1A,Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with pedicled flap reconstruction,"CT Scan, Biopsy, Clinical Photograph of affected part","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",54800
,S2.15 Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with or without reconstruction,-,S2.15.2A,Excision of tumour of oral cavity / paranasal sinus / laryngopharynx with free flap reconstruction,"CT Scan, Biopsy, Clinical Photograph of affected part","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",57500
,S2.16 Removal of Submandibular Salivary gland,-,S2.16A,Removal of Ranula,"Clinical notes and Clinical photograph, MLC/FIR for traumatic injuries and circumstances of the incident which led to rupture of salivary duct","Histopathology report, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",36300
,S2.17 Neck dissection,-,S2.17.1A,Selective Benign neck tumour excision,"Indication for surgery with supporting investigation reports (X-ray/ CT/MRI), FNAC / Biospy in case of tumours, Clinical Photograph","Histopathology report, Post procedure Imaging, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",28200
,S2.17 Neck dissection,-,S2.17.2A,Comprehensive Benign neck tumour excision,"Indication for surgery with supporting investigation reports (X-ray/ CT/MRI), FNAC / Biospy in case of tumours, Clinical Photograph","Histopathology report, Post procedure Imaging, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",28200
,S2.17 Neck dissection,-,S2.17.3A,Selective Pharyngeal diverticulum excision,"Indication for surgery with supporting investigation reports (X-ray/ CT/MRI), FNAC / Biospy in case of tumours, Clinical Photograph","Histopathology report, Post procedure Imaging, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",28200
,S2.17 Neck dissection,-,S2.17.4A,Comprehensive Pharyngeal diverticulum excision,"Indication for surgery with supporting investigation reports (X-ray/ CT/MRI), FNAC / Biospy in case of tumours, Clinical Photograph","Histopathology report, Post procedure Imaging, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",28200
,S2.18 Deep neck abscess drainage/ Post trauma neck exploration,-,S2.18.1A,Deep neck abscess drainage,"Clinical notes and clinical photgraph/ investigation supporting diagnosis, CT","C/S of pus, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",21000
,S2.18 Deep neck abscess drainage/ Post trauma neck exploration,-,S2.18.2A,Post trauma neck exploration,"Clinical notes and clinical photgraph/ investigation supporting diagnosis, CT","C/S of pus, post procedure clinical photograph of affected part, detailed Procedure / Operative Notes; detailed discharge summary",25200
,S2.19 Anterior skull base surgery,-,S2.19.1A,Orbital decompression,Clinical notes with planned line of treatment detailing aetiology; MLC/ FIR if traumatic. CT to confirm need of surgery,"Procedure / Operative Notes,Post Procedure Photograph of affected part",38300
,S2.19 Anterior skull base surgery,-,S2.19.2A,Maxillary swing,Clinical notes with planned line of treatment detailing aetiology; MLC/ FIR if traumatic. CT to confirm need of surgery,"Procedure / Operative Notes,Post Procedure Photograph of affected part",38300
,S2.2 THROAT,29.39.1,S2.2.4,Exision of Tumors In Pharynx,"Laryngoscopy, CT of Nose \ Nasopharynx, WEBEX","Routine Histopathological Examination, Scar Photo",25000
,S2.2 THROAT,28.6.1,S2.2.6,Adenoidectomy - Gromet Insertion,"Pure tone audiometry, Impedances audiometry, OTO endoscopy/ OTO Endoscopy Photos","Pure tone audio metry, impedances audiometry, Post OP Grommet in Positoin Photo",11800
,S2.20 Advanced anterior skull base surgery,-,S2.20.1A,Endoscopic Hypophysectomy,Clinical notes with planned line of treatment and Coronal CT/MRI establishing diagnosis and establishing need of surgery,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",59700
,S2.20 Advanced anterior skull base surgery,-,S2.20.2A,Clival tumour excision,Clinical notes with planned line of treatment and Coronal CT/MRI establishing diagnosis and establishing need of surgery,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",59700
,S2.21 Lateral skull base procedures,-,S2.21.1A,Subtotal petrosectomy,Clinical notes with planned line of treatment and CT/MRI/ biopsy to establish the indication and justify the surgery.,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",37100
,S2.21 Lateral skull base procedures,-,S2.21.2A,CSF Otorrhoea repair,Clinical notes with planned line of treatment and CT/MRI/ biopsy to establish the indication and justify the surgery.,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",37100
,S2.23 Advanced lateral skull base surgery,-,S2.23.1A,Fisch approach,Clinical notes with planned line of treatment and Audiogram report justfying surgery +/- CT- TEMPORAL BONE of affected side /X-RAY BOTH MASTOIDS,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",59900
,S2.23 Advanced lateral skull base surgery,-,S2.23.2A,Translabyrinthine approach,Clinical notes with planned line of treatment and Audiogram report justfying surgery +/- CT- TEMPORAL BONE of affected side /X-RAY BOTH MASTOIDS,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",59900
,S2.23 Advanced lateral skull base surgery,-,S2.23.3A,Transcochlear approach,Clinical notes with planned line of treatment and Audiogram report justfying surgery +/- CT- TEMPORAL BONE of affected side /X-RAY BOTH MASTOIDS,"Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",59900
,S2.24 Closed reduction / intermaxillary fixation for fracture of maxilla / mandible / zygoma,-,S2.24A,Closed reduction and Intermaxillary fixation for fracture of mandible,"MLC/FIR for traumatic injuries and circumstances of the incident which led to fracture, X Ray/CT","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",18500
,S2.25 Clinic based therapeutic interventions of ENT,-,S2.25.1A,Turbinate reduction,"Clinical notes with planned line of treatment and EXAMINATION FINDINGS, nasoendoscopy findings","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",1500
,S2.25 Clinic based therapeutic interventions of ENT,-,S2.25.2A,Biopsy,"Clinical notes with planned line of treatment and EXAMINATION FINDINGS, nasoendoscopy findings","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",1200
,S2.25 Clinic based therapeutic interventions of ENT,-,S2.25.3A,Intratympanic injections,"Clinical notes with planned line of treatment and EXAMINATION FINDINGS, nasoendoscopy findings","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",1500
,S2.25 Clinic based therapeutic interventions of ENT,-,S2.25.4A,Wide bore aspiration,"Clinical notes with planned line of treatment and EXAMINATION FINDINGS, nasoendoscopy findings","Procedure / Operative Notes,Post Procedure Photograph of affected part, Histopathology report",1500
,S2.25 Clinic based therapeutic interventions of ENT,-,S2.25.5A,Biopsy,Dental IOPA-Xray / OPG (Orthopantomogram) Xray/CBCT/CT showing impacted tooth Clinical Photograph,"Post procedure clinical photograph; detailed discharge summary, Detailed Procedure / Operative Notes, HPE",2200
,S2.3 NOSE,22.5,S2.3.1,Endoscopic Sinus Surgery,"CT Scan Of Nasal Sinus,CT PNS Without Contrast, Nasal endoscopy","X-Ray PNS, WEBEX, Nasal endoscopy",18300
,S2.3 NOSE,20.4,S2.3.2,Mastoidectomy,"Pure Tone Audiometry, Impedances Audiometry(With Stepedeal Reflex) , X-Ray Of Both Mastoids, OTO endoscopy/ OTO Endoscopy Photos","Pure Tone Audiometry, Impedances Audiometry(With Stepedeal Reflex) , X-Ray Of Both Mastoids After 6 Weeks, Scar Photo.",25000
,S2.3 NOSE,19.5,S2.3.3,Tympanoplasty,"Pure Tone Audiometry, Impedances Audiometry(With Stepedeal Reflex) , X-Ray Of Both Mastoids, OTO endoscopy/ OTO Endoscopy Photos","Pure Tone Audiometry, Scar and Graft Photos",19200
,S2.3 NOSE,19.11,S2.3.4,Stapedectomy - Veingraft,"Impedances Audiometry(With Stepedeal Reflex), Pure Tone Audiometry, OTO endoscopy/ OTO Endoscopy Photos","Pure Tone Audiometry After 3 Weeks, Clinical Photo With Piston + Vein Graft",21600
,S2.3 NOSE,21.3,S2.3.5,Excision of Benign tumours of Nose,"CT of Nose \ Nasopharynx, CT PNS With Contrast9,DNL(Direct Nasal Laryngoscopy) \ DNE -Including Biopsy Under GI , Nasal Endoscopy","Routine Histopathological Examination, DNE Photo , WEBEX",25000
,S2.3 NOSE,21.32,S2.3.6,Surgery for Angiofibroma,"CT of Nose \ Nasopharynx, CT PNS With Contrast9,DNL(Direct Nasal Laryngoscopy) \ DNE -Including Biopsy Under GI","CT of Nose \ Nasopharynx, CT PNS With Contrast9,Routine Histopathological Examination , WEBEX",50000
,S2.3 NOSE,09.53,S2.3.7,Endoscopic Surgery for Dacrocystitis,"NLD probing(single eye),Dacryocystography","NLD probing(single eye), Endoscopic Photograph, DNE Photo",17000
,S2.5 Myringotomy with or without Grommet,-,S2.5.1A,Unilateral,Clinical notes and Audiogram justifying surgery.,"Photograph of patient while undergoing the procedure, detailed Procedure / Operative Notes, detailed discharge summary",9500
,S2.5 Myringotomy with or without Grommet,-,S2.5.2A,Bilateral,Clinical notes and Audiogram justifying surgery.,"Photograph of patient while undergoing the procedure, detailed Procedure / Operative Notes, detailed discharge summary",18000
,S2.6 Epistaxis treatment - packing,-,S2.6A,Epistaxis treatment - packing,Clinical notes with planned line of treatment,"Clinical photograph, Detailed Discharge Summary",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
